Area code 2,Area name,,,,Usual residents in households ,,Households with at least one usual resident,1 person in household,2 people in household,3 people in household,4 people in household,5 or more people in household
E06000047,,County Durham UA 4,,,500288,,223803,70007,80984,36607,26074,10131
E06000005,,Darlington UA,,,104111,,46670,15101,16657,7191,5352,2369
E06000001,,Hartlepool UA,,,91091,,40434,13392,13478,6629,4759,2176
E06000002,,Middlesbrough UA,,,136156,,57203,17708,18554,9221,7220,4500
E06000048,,Northumberland UA 5,,,310591,,138534,41406,53502,20775,16422,6429
E06000003,,Redcar and Cleveland UA,,,133929,,59605,18735,21165,9738,7119,2848
E06000004,,Stockton-on-Tees UA,,,187959,,79159,21986,27938,13583,10704,4948
,,,,,,,,,,,,
E11000004,,Tyne and Wear (Met County),,,1086693,,484527,162165,162777,76898,57028,25659
E08000020,,,Gateshead,,197726,,89154,29313,31486,14011,10277,4067
E08000021,,,Newcastle upon Tyne,,271212,,117153,40337,36432,17610,13872,8902
E08000022,,,North Tyneside,,199142,,91295,30960,31879,14107,10722,3627
E08000023,,,South Tyneside,,146729,,67167,23459,22431,10798,7492,2987
E08000024,,,Sunderland,,271884,,119758,38096,40549,20372,14665,6076
,,,,,,,,,,,,
E06000008,,Blackburn with Darwen UA,,,145827,,57353,17419,17082,8808,7307,6737
E06000009,,Blackpool UA,,,137960,,64367,24446,20833,9345,6399,3344
E06000049,,Cheshire East UA 6,,,365065,,159441,47328,57990,25266,20969,7888
E06000050,,Cheshire West and Chester UA 7,,,326236,,141442,41841,51108,22381,18383,7729
E06000006,,Halton UA,,,124874,,53312,15833,17938,9272,7130,3139
E06000007,,Warrington UA,,,198828,,85140,24534,29885,14347,11868,4506
,,,,,,,,,,,,
E10000006,,Cumbria ,,,490939,,222042,71740,82130,31605,26121,10446
E07000026,,,Allerdale,,94970,,42345,13169,15710,6196,5199,2071
E07000027,,,Barrow-in-Furness,,68392,,31224,10791,10657,4744,3611,1421
E07000028,,,Carlisle,,106138,,48342,16423,17028,6939,5709,2243
E07000029,,,Copeland,,69312,,30536,9308,11198,4640,3768,1622
E07000030,,,Eden,,51613,,23043,6958,9028,3122,2806,1129
E07000031,,,South Lakeland,,100514,,46552,15091,18509,5964,5028,1960
,,,,,,,,,,,,
E11000001,,Greater Manchester (Met County),,,2639700,,1128066,364137,364604,180646,137422,81257
E08000001,,,Bolton,,274855,,116371,37091,37513,18430,14570,8767
E08000002,,,Bury,,183025,,78113,24263,26003,12647,9981,5219
E08000003,,,Manchester,,481030,,204969,72255,61144,31456,21743,18371
E08000004,,,Oldham ,,223170,,89703,26790,28033,15000,11280,8600
E08000005,,,Rochdale,,209552,,87552,28183,27518,13687,10581,7583
E08000006,,,Salford,,228346,,103556,37751,33517,15597,10567,6124
E08000007,,,Stockport,,280915,,121979,38535,41329,18868,16015,7232
E08000008,,,Tameside,,217736,,94953,31037,30941,15765,11470,5740
E08000009,,,Trafford,,225277,,94484,28179,31108,15335,13262,6600
E08000010,,,Wigan,,315794,,136386,40053,47498,23861,17953,7021
,,,,,,,,,,,,
E10000017,,Lancashire ,,,1143277,,496299,154167,174362,76454,60514,30802
E07000117,,,Burnley,,86117,,37550,12506,12312,6028,4151,2553
E07000118,,,Chorley,,104277,,44919,12724,16445,7493,5942,2315
E07000119,,,Fylde,,74035,,34885,12328,12812,4816,3495,1434
E07000120,,,Hyndburn,,80088,,34341,11061,11449,5336,3990,2505
E07000121,,,Lancaster,,129433,,57822,18838,20790,8281,6734,3179
E07000122,,,Pendle,,88846,,37348,12088,12382,5399,4184,3295
E07000123,,,Preston,,134392,,57567,19835,17505,8486,7154,4587
E07000124,,,Ribble Valley,,55951,,24045,6948,8773,3646,3336,1342
E07000125,,,Rossendale,,67262,,29058,8988,10046,4655,3507,1862
E07000126,,,South Ribble,,108225,,46102,12453,17059,7982,6145,2463
E07000127,,,West Lancashire,,108689,,45381,12226,16340,7415,6482,2918
E07000128,,,Wyre,,105962,,47281,14172,18449,6917,5394,2349
,,,,,,,,,,,,
E11000002,,Merseyside (Met County),,,1355114,,602087,207857,191912,94777,72232,35309
E08000011,,,Knowsley ,,144990,,61323,19041,18991,10794,8321,4176
E08000012,,,Liverpool,,450085,,206515,80973,60213,30559,22422,12348
E08000014,,,Sefton,,269697,,117930,37820,39735,18512,14948,6915
E08000013,,,St. Helens,,173958,,75736,22694,26441,13094,9616,3891
E08000015,,,Wirral,,316384,,140583,47329,46532,21818,16925,7979
,,,,,,,,,,,,
E06000011,,East Riding of Yorkshire UA,,,326951,,143032,39276,57418,21535,18017,6786
E06000010,,"Kingston upon Hull, City of UA",,,252748,,112596,39788,35562,17174,13273,6799
E06000012,,North East Lincolnshire UA,,,157786,,69707,21793,25134,10699,8239,3842
E06000013,,North Lincolnshire UA,,,165871,,70684,19420,26503,11570,8983,4208
E06000014,,York UA,,,190392,,83552,25224,31228,12414,9977,4709
,,,,,,,,,,,,
E10000023,,North Yorkshire ,,,582624,,256594,74954,99465,37800,31256,13119
E07000163,,,Craven,,54375,,24583,7651,9691,3329,2696,1216
E07000164,,,Hambleton,,87321,,38117,10679,14896,5811,4819,1912
E07000165,,,Harrogate,,153821,,67169,19340,25628,10051,8750,3400
E07000166,,,Richmondshire,,47344,,20207,5239,8116,2996,2724,1132
E07000167,,,Ryedale,,50611,,22524,6546,9149,3122,2553,1154
E07000168,,,Scarborough,,106427,,49435,16966,18655,6616,4817,2381
E07000169,,,Selby,,82725,,34559,8533,13330,5875,4897,1924
,,,,,,,,,,,,
E11000003,,South Yorkshire (Met County),,,1321137,,565442,170055,198057,89336,71515,36479
E08000016,,,Barnsley,,229539,,100734,29734,36871,16770,12530,4829
E08000017,,,Doncaster,,297200,,126487,36104,45170,20979,16425,7809
E08000018,,,Rotherham ,,255334,,108293,30902,38646,17826,14244,6675
E08000019,,,Sheffield,,539064,,229928,73315,77370,33761,28316,17166
,,,,,,,,,,,,
E11000006,,West Yorkshire (Met County),,,2188168,,922452,288889,308153,139986,113905,71519
E08000032,,,Bradford,,515315,,199296,58934,60941,29949,25313,24159
E08000033,,,Calderdale,,202376,,88621,29023,30183,13197,10711,5507
E08000034,,,Kirklees ,,416840,,173525,52553,58412,26257,22372,13931
E08000035,,,Leeds,,731373,,320596,106739,108020,47243,37941,20653
E08000036,,,Wakefield,,322264,,140414,41640,50597,23340,17568,7269
,,,,,,,,,,,,
E06000015,,Derby UA,,,244625,,102271,31578,33604,15537,13438,8114
E06000016,,Leicester UA,,,321527,,123125,36951,33618,19422,17970,15164
E06000018,,Nottingham UA,,,289738,,126131,45617,38283,18679,12803,10749
E06000017,,Rutland UA,,,34252,,15002,4111,6089,2217,1845,740
,,,,,,,,,,,,
E10000007,,Derbyshire ,,,760840,,332637,96233,125403,52206,42347,16448
E07000032,,,Amber Valley,,121167,,52596,14658,20280,8233,6802,2623
E07000033,,,Bolsover,,75251,,32801,9521,12197,5337,4021,1725
E07000034,,,Chesterfield,,102681,,46796,15412,16996,7097,5203,2088
E07000035,,,Derbyshire Dales,,69562,,30744,8899,12289,4173,3810,1573
E07000036,,,Erewash,,110939,,48692,14164,18141,8038,6139,2210
E07000037,,,High Peak,,89867,,38946,11362,14259,6043,5215,2067
E07000038,,,North East Derbyshire,,98240,,43070,12158,16643,6799,5570,1900
E07000039,,,South Derbyshire,,93133,,38992,10059,14598,6486,5587,2262
,,,,,,,,,,,,
E10000018,,Leicestershire ,,,636274,,267434,72496,98349,42179,37872,16538
E07000129,,,Blaby,,92894,,38686,10095,14248,6322,5644,2377
E07000130,,,Charnwood,,158719,,66516,18658,23591,10518,9334,4415
E07000131,,,Harborough,,84008,,34898,8995,13099,5311,5303,2190
E07000132,,,Hinckley and Bosworth,,104275,,45377,12771,17340,7160,5896,2210
E07000133,,,Melton,,49916,,21490,5902,8314,3245,2901,1128
E07000134,,,North West Leicestershire,,92697,,39128,10587,14422,6328,5478,2313
E07000135,,,Oadby and Wigston,,53765,,21339,5488,7335,3295,3316,1905
,,,,,,,,,,,,
E10000019,,Lincolnshire,,,698748,,306971,87130,121831,46343,36026,15641
E07000136,,,Boston,,63736,,27291,7676,10297,4302,3342,1674
E07000137,,,East Lindsey,,133400,,60890,18179,25789,8197,5872,2853
E07000138,,,Lincoln,,87880,,39825,13696,13661,6086,4319,2063
E07000139,,,North Kesteven,,105980,,45972,12052,18789,7100,5876,2155
E07000140,,,South Holland,,87409,,37264,9441,15369,5695,4657,2102
E07000141,,,South Kesteven,,132493,,57344,15599,22439,9030,7425,2851
E07000142,,,West Lindsey,,87850,,38385,10487,15487,5933,4535,1943
,,,,,,,,,,,,
E10000021,,Northamptonshire,,,681850,,287730,80100,104126,46075,39107,18322
E07000150,,,Corby,,60990,,25215,6696,8717,4690,3404,1708
E07000151,,,Daventry,,75886,,31647,7953,12207,5001,4526,1960
E07000152,,,East Northamptonshire,,84910,,35662,9134,13821,5562,5045,2100
E07000153,,,Kettering,,92521,,39701,11503,14375,6219,5294,2310
E07000154,,,Northampton,,208463,,88731,27048,30203,14010,11283,6187
E07000155,,,South Northamptonshire,,84497,,34717,8264,13398,5528,5433,2094
E07000156,,,Wellingborough,,74583,,32057,9502,11405,5065,4122,1963
,,,,,,,,,,,,
E10000024,,Nottinghamshire ,,,774338,,334303,94773,124469,53872,43328,17861
E07000170,,,Ashfield,,118213,,50931,14278,18853,8669,6429,2702
E07000171,,,Bassetlaw,,109979,,47667,13367,18100,7683,6051,2466
E07000172,,,Broxtowe,,108570,,46820,13083,17509,7643,6194,2391
E07000173,,,Gedling,,112759,,49349,14641,18186,7835,6123,2564
E07000174,,,Mansfield,,103487,,44928,13098,16302,7598,5570,2360
E07000175,,,Newark and Sherwood,,112526,,48773,13842,18563,7555,6113,2700
E07000176,,,Rushcliffe,,108804,,45835,12464,16956,6889,6848,2678
E06000019,,"Herefordshire, County of UA",,,180595,,78319,22540,29968,11451,9772,4588
E06000051,,Shropshire UA 8,,,298183,,129674,37540,49377,19083,16308,7366
E06000021,,Stoke-on-Trent UA,,,246075,,107575,35357,35631,17258,12549,6780
E06000020,,Telford and Wrekin UA,,,164440,,66608,16793,23691,11579,9372,5173
,,,,,,,,,,,,
E10000028,,Staffordshire ,,,832952,,355263,98491,131081,57913,47742,20036
E07000192,,,Cannock Chase,,96791,,40664,10940,14547,7095,5748,2334
E07000193,,,East Staffordshire,,111488,,47251,13823,16652,7561,6031,3184
E07000194,,,Lichfield,,98893,,41224,10024,16234,6754,5776,2436
E07000195,,,Newcastle-under-Lyme,,119708,,52574,16236,18512,8564,6513,2749
E07000196,,,South Staffordshire,,106157,,44458,11239,16981,7213,6581,2444
E07000197,,,Stafford,,127609,,55703,16236,20827,8638,7147,2855
E07000198,,,Staffordshire Moorlands,,95860,,41772,11747,16101,6497,5398,2029
E07000199,,,Tamworth,,76446,,31617,8246,11227,5591,4548,2005
,,,,,,,,,,,,
E10000031,,Warwickshire,,,537501,,231005,67054,83987,36098,30421,13445
E07000218,,,North Warwickshire,,61468,,25812,6776,9581,4338,3590,1527
E07000219,,,Nuneaton and Bedworth,,124410,,52711,15090,18326,9002,7034,3259
E07000220,,,Rugby,,98180,,41875,11784,15295,6727,5566,2503
E07000221,,,Stratford-on-Avon,,118853,,51928,14804,20139,7625,6764,2596
E07000222,,,Warwick,,134590,,58679,18600,20646,8406,7467,3560
,,,,,,,,,,,,
E11000005,,West Midlands (Met County),,,2693432,,1086748,332684,332547,172961,141111,107445
E08000025,,,Birmingham,,1051366,,410736,131200,115438,62424,50272,51402
E08000026,,,Coventry,,307730,,128592,40148,40638,20733,16646,10427
E08000027,,,Dudley ,,310398,,129867,36652,45175,21746,17603,8691
E08000028,,,Sandwell ,,305928,,121498,35935,35998,20756,16496,12313
E08000029,,,Solihull,,205087,,86056,25102,29037,13668,12583,5666
E08000030,,,Walsall,,267397,,107822,30771,35208,17410,14457,9976
E08000031,,,Wolverhampton,,245526,,102177,32876,31053,16224,13054,8970
,,,,,,,,,,,,
E10000034,,Worcestershire ,,,556357,,239717,67789,90409,36789,31330,13400
E07000234,,,Bromsgrove,,90833,,38290,10041,14422,6062,5686,2079
E07000235,,,Malvern Hills,,72422,,32212,9555,12754,4485,3754,1664
E07000236,,,Redditch,,83745,,34722,9282,12550,5709,4785,2396
E07000237,,,Worcester,,96854,,42042,13135,14583,6422,5341,2561
E07000238,,,Wychavon,,115545,,49466,12886,19811,7496,6697,2576
E07000239,,,Wyre Forest,,96958,,42985,12890,16289,6615,5067,2124
,,,,,,,,,,,,
E06000055,,Bedford UA 9,,,154536,,63812,18396,21264,10534,8697,4921
E06000056,,Central Bedfordshire UA 10,,,252120,,104399,27030,37399,17957,15702,6311
E06000032,,Luton UA,,,201549,,74293,20319,20641,12413,10617,10303
E06000031,,Peterborough UA,,,181827,,74023,21252,24505,11997,9868,6401
E06000033,,Southend-on-Sea UA,,,171489,,74678,24386,24848,11186,9501,4757
E06000034,,Thurrock UA,,,157072,,62353,16368,19584,11128,10184,5089
,,,,,,,,,,,,
E10000003,,Cambridgeshire ,,,598066,,251241,68780,91732,39226,35524,15979
E07000008,,,Cambridge,,107345,,46714,15848,14791,7161,5721,3193
E07000009,,,East Cambridgeshire,,83056,,34614,8893,12958,5577,5103,2083
E07000010,,,Fenland,,93934,,40620,11576,15575,6137,4907,2425
E07000011,,,Huntingdonshire,,166952,,69333,17691,26076,11000,10238,4328
E07000012,,,South Cambridgeshire,,146779,,59960,14772,22332,9351,9555,3950
,,,,,,,,,,,,
E10000012,,Essex ,,,1375440,,581589,165217,206490,91273,82138,36471
E07000066,,,Basildon,,173372,,72746,21480,24094,11812,10564,4796
E07000067,,,Braintree,,145463,,61043,16537,22087,9914,8726,3779
E07000068,,,Brentwood,,72789,,30646,8853,10458,4715,4738,1882
E07000069,,,Castle Point,,87385,,36440,9524,13588,5770,5170,2388
E07000070,,,Chelmsford,,166182,,69667,19138,24829,11029,10339,4332
E07000071,,,Colchester,,167080,,71634,20849,25631,11291,9661,4202
E07000072,,,Epping Forest,,123623,,51991,15285,17318,8406,7595,3387
E07000073,,,Harlow,,81551,,34620,10599,11168,5808,4828,2217
E07000074,,,Maldon,,61097,,25817,6923,9731,3941,3684,1538
E07000075,,,Rochford,,82736,,33564,8112,12425,5288,5465,2274
E07000076,,,Tendring,,135867,,62105,20545,23752,8243,6232,3333
E07000077,,,Uttlesford,,78295,,31316,7372,11409,5056,5136,2343
,,,,,,,,,,,,
E10000015,,Hertfordshire,,,1101351,,453817,128815,149100,73207,70454,32241
E07000095,,,Broxbourne,,93267,,37658,10070,12104,6551,6211,2722
E07000096,,,Dacorum,,142845,,59938,17275,20364,9520,8941,3838
E07000097,,,East Hertfordshire,,135762,,56577,15722,19415,8954,9026,3460
E07000098,,,Hertsmere,,98478,,39778,11148,12427,6598,6479,3126
E07000099,,,North Hertfordshire,,125817,,53426,15494,18605,8435,7688,3204
E07000100,,,St Albans,,139058,,56140,14988,18843,8609,9494,4206
E07000101,,,Stevenage,,83405,,34898,10455,11019,6115,4908,2401
E07000102,,,Three Rivers,,86324,,35108,9738,11341,5709,5747,2573
E07000103,,,Watford,,89565,,36681,11392,11029,5838,5226,3196
E07000104,,,Welwyn Hatfield,,106830,,43613,12533,13953,6878,6734,3515
,,,,,,,,,,,,
E10000020,,Norfolk,,,841042,,372085,109134,146508,53939,43099,19405
E07000143,,,Breckland,,127632,,54519,14150,22132,8278,6765,3194
E07000144,,,Broadland,,122931,,53336,14087,21632,8111,6999,2507
E07000145,,,Great Yarmouth,,96230,,42079,12571,15664,6541,4846,2457
E07000146,,,King?s Lynn and West Norfolk,,145253,,62977,17116,25580,9365,7336,3580
E07000147,,,North Norfolk,,99023,,46046,14320,19614,5796,4328,1988
E07000148,,,Norwich,,127754,,60319,23020,20223,8168,5929,2979
