la_code,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
W06000001,0,0,0,0,0,0,0
W06000002,0,0,0,0,0,0,0
W06000003,0,0,0,0,0,0,0
W06000004,0,0,0,0,0,2,3
W06000005,0,0,0,0,16,42,0
W06000006,0,0,0,0,0,0,2
W06000023,0,0,0,0,0,0,10
W06000008,0,0,0,0,0,0,0
W06000009,0,0,0,0,0,0,0
W06000010,0,0,0,0,0,0,0
W06000011,0,0,0,0,0,0,0
W06000012,0,0,0,0,0,0,0
W06000013,0,0,0,0,0,0,0
W06000014,0,0,0,0,0,0,0
W06000015,23,2,1,3,34,24,0
W06000016,19,36,0,0,0,0,0
W06000024,0,0,0,0,0,0,0
W06000018,0,0,0,0,0,0,19
W06000019,0,0,0,0,0,0,0
W06000020,0,0,0,0,0,0,0
W06000021,0,0,0,86,0,0,0
W06000022,0,0,0,0,0,0,0